filename	dish_title	price_rub
aperol-spritz.webp	Aperol Spritz	790
cherry-smoke.webp	CHERRY SMOKE	900
clover-club.webp	Clover Club	750
elder-bloom.webp	ELDER BLOOM	1000
gin-tonic-berry.webp	Gin-Tonic Berry	750
green-bro.webp	Green Bro	490
lemon-pie.webp	Lemon Pie	750
negroni.webp	Negroni	750
	Pina Colada	690
spicy-wood.webp	SPICY WOOD	900
spring-melony.webp	SPRING MELONY	800
summer-breeze.webp	Summer Breeze	490
summer-spritz.webp	SUMMER SPRITZ	1100
sweet-tomatoo.webp	SWEET TOMATOO	900
tripple-sour.webp	TRIPPLE SOUR	800
tropical-extaz.webp	Tropical Extaz	490
basturma-goviadina.webp	Бастурма говядина	760
batat-fri.webp	Батат фри	710
zapechennyi-roll-s-zharenoi-krevetkoi-i-syrom.webp	Запеченный ролл с жареной креветкой и сыром	920
zapechennyi-roll-s-krevetkoi-i-sousom-gorgonzola.webp	Запеченный ролл с креветкой и соусом горгонзола	920
kartofel-fri.webp	Картофель фри	490
krevetki-tempura.webp	Креветки темпура	820
krem-sup-iz-lososia.webp	Крем-суп из лосося	920
kurinaia-grudka-s-triufel-nym-piure.webp	Куриная грудка с трюфельным пюре	750
lesnye-iagody.webp	Лесные ягоды	760
molochnyi-ulun-belyi-shokolad.webp	Молочный улун & белый шоколад	900
molochnyi-chai-s-prianostiami.webp	Молочный чай с пряностями	760
oblepikha-imbir.webp	Облепиха&имбирь	760
opalennyi-roll-s-lososem-tuntsom-i-grebeshkom.webp	Опаленный ролл с лососем, тунцом и гребешком	1200
pechen-e-v-oblakakh.webp	Печенье в облаках	540
poke-s-krevetkami.webp	Поке с креветками	850
poke-s-lososem.webp	Поке с лососем	950
poke-s-opalennym-grebeshkom-i-triufel-nym-sousom.webp	Поке с опаленным гребешком и трюфельным соусом	950
poke-s-tuntsom.webp	Поке с тунцом	850
puer-na-vishnevom-soke.webp	Пуэр на вишневом соке	900
piure-s-tomlennoi-goviadinoi.webp	Пюре с томленной говядиной	700
ramen-katsu.webp	Рамен Кацу	950
ris-po-taiski-s-krevetkami.webp	Рис по-тайски с креветками	870
roll-opalennyi-grebeshok.webp	Ролл опаленный гребешок	1200
roll-filadel-fiia-klassicheskaia.webp	Ролл филадельфия классическая	950
salat-s-opalennym-lososem.webp	Салат с опаленным лососем	1150
slivochno-syrnyi-sup-s-lososem.webp	Сливочно-сырный суп с лососем	890
slivochnyi-udon-s-moreproduktami.webp	Сливочный удон с морепродуктами	870
spring-roll-s-lososem-tuntsom.webp	Спринг ролл с лососем /  тунцом	600
syr-okhotnichii-spagetti.webp	Сыр охотничий спагетти	430
tempura-roll-s-krevetkoi.webp	Темпура ролл с креветкой	920
tom-iam-s-moreproduktami.webp	Том Ям с морепродуктами	920
travianoi-chai.webp	Травяной чай	760
fruktovyi-roll.webp	Фруктовый ролл	820
tsukimono.webp	Цукимоно	350
chizkeik-matcha.webp	Чизкейк "Матча"	540
shashlychki-s-kal-marom.webp	Шашлычки с кальмаром	700
shashlychki-s-krevetkami.webp	Шашлычки с креветками	800
shnitsel-s-gribnym-sousom.webp	Шницель с грибным соусом	750
